No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Multiplier
1,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3919210000000.0,41.93,254.49,1.88%,125709972,1000000000.0
20,NVDA,NVIDIA Corp,Technology,Semiconductors,USA,3400280000000.0,53.06,134.7,3.08%,296473449,1000000000.0
18,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,3242880000000.0,36.04,436.6,-0.10%,54196617,1000000000.0
9,GOOG,Alphabet Inc,Communication Services,Internet Content & Information,USA,2392040000000.0,25.6,192.96,1.72%,45230894,1000000000.0
3,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2382300000000.0,48.2,224.92,0.73%,86980274,1000000000.0
16,META,Meta Platforms Inc,Communication Services,Internet Content & Information,USA,1451580000000.0,27.56,585.25,-1.73%,48273952,1000000000.0
4,AVGO,Broadcom Inc,Technology,Semiconductors,USA,1042880000000.0001,181.11,220.79,1.13%,130916221,1000000000.0
14,LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,738680000000.0,83.99,767.76,1.35%,9491368,1000000000.0
12,JPM,JPMorgan Chase & Co,Financial,Banks - Diversified,USA,682250000000.0,13.22,237.6,1.99%,32287328,1000000000.0
15,MA,Mastercard Incorporated,Financial,Credit Services,USA,489040000000.0,39.93,528.03,0.91%,7284940,1000000000.0
6,COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,423190000000.0,56.02,954.07,-0.08%,5316330,1000000000.0
10,HD,"Home Depot, Inc",Consumer Cyclical,Home Improvement Retail,USA,397670000000.0,26.67,392.6,1.97%,8036182,1000000000.0
19,NFLX,Netflix Inc,Communication Services,Entertainment,USA,391600000000.0,51.44,909.05,0.78%,4501242,1000000000.0
11,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,349990000000.0,23.88,144.47,0.62%,17607210,1000000000.0
5,BAC,Bank Of America Corp,Financial,Banks - Diversified,USA,345080000000.0,16.06,44.17,1.82%,73666087,1000000000.0
7,CRM,Salesforce Inc,Technology,Software - Application,USA,336130000000.0,56.54,343.65,2.21%,14740736,1000000000.0
2,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,317620000000.0,61.23,175.58,2.37%,17695727,1000000000.0
13,KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,USA,269880000000.0,25.98,62.55,0.16%,42208654,1000000000.0
8,CVX,Chevron Corp,Energy,Oil & Gas Integrated,USA,259810000000.0,15.72,142.85,1.20%,31926308,1000000000.0
17,MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,USA,244370000000.0,20.54,98.05,-1.48%,29270813,1000000000.0
9,CSCO,"Cisco Systems, Inc",Technology,Communication Equipment,USA,236670000000.0,25.2,58.52,1.54%,68983880,1000000000.0
20,NOW,ServiceNow Inc,Technology,Software - Application,USA,228220000000.0,169.76,1091.25,1.52%,1997334,1000000000.0
2,ACN,Accenture plc,Technology,Information Technology Services,Ireland,225590000000.0,30.71,366.37,-1.56%,6982683,1000000000.0
5,AXP,American Express Co,Financial,Credit Services,USA,214380000000.0,21.97,298.65,1.90%,6205080,1000000000.0
18,MCD,McDonald's Corp,Consumer Cyclical,Restaurants,USA,211510000000.0,25.69,292.68,0.84%,7658971,1000000000.0
7,BX,Blackstone Inc,Financial,Asset Management,USA,209580000000.0,58.73,170.84,1.14%,10846191,1000000000.0
14,IBM,International Business Machines Corp,Technology,Information Technology Services,USA,206010000000.0,32.51,223.36,-0.25%,12243163,1000000000.0
17,LIN,Linde Plc,Basic Materials,Specialty Chemicals,United Kingdom,204310000000.0,32.2,424.31,1.12%,6609700,1000000000.0
11,DIS,Walt Disney Co,Communication Services,Entertainment,USA,204080000000.0,41.24,112.03,0.59%,17725842,1000000000.0
19,MS,Morgan Stanley,Financial,Capital Markets,USA,203720000000.0,18.76,123.44,2.44%,14883212,1000000000.0
1,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,201320000000.0,34.74,114.23,1.61%,11945003,1000000000.0
3,ADBE,Adobe Inc,Technology,Software - Infrastructure,USA,201250000000.0,36.06,447.17,2.24%,8091905,1000000000.0
19,PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,USA,199170000000.0,407.85,80.55,8.54%,278425773,1000000000.0
6,BABA,Alibaba Group Holding Ltd ADR,Consumer Cyclical,Internet Retail,China,197010000000.0,16.89,82.28,-2.41%,21221458,1000000000.0
4,AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,193990000000.0,106.64,119.21,0.28%,53048228,1000000000.0
16,ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,USA,186980000000.0,84.29,524.43,0.10%,3890225,1000000000.0
12,GE,GE Aerospace,Industrials,Aerospace & Defense,USA,186170000000.0,29.7,168.37,2.17%,9239398,1000000000.0
15,INTU,Intuit Inc,Technology,Software - Application,USA,181920000000.0,62.59,643.39,1.01%,3449985,1000000000.0
13,GS,"Goldman Sachs Group, Inc",Financial,Capital Markets,USA,181590000000.0,16.61,566.1,2.19%,4512346,1000000000.0
8,CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,USA,179510000000.0,16.97,366.04,1.57%,5139348,1000000000.0
10,DHR,Danaher Corp,Healthcare,Diagnostics & Research,USA,166820000000.0,43.59,228.55,1.06%,7033388,1000000000.0
20,RTX,RTX Corp,Industrials,Aerospace & Defense,USA,156410000000.0,33.27,116.48,0.88%,13144519,1000000000.0
17,PFE,Pfizer Inc,Healthcare,Drug Manufacturers - General,USA,152800000000.0,35.43,26.36,2.29%,116140902,1000000000.0
14,NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric,USA,151400000000.0,21.21,71.67,2.72%,27385908,1000000000.0
7,CMCSA,Comcast Corp,Communication Services,Telecom Services,USA,149460000000.0,10.3,38.22,2.19%,58854081,1000000000.0
11,HON,Honeywell International Inc,Industrials,Conglomerates,USA,149410000000.0,26.37,228.32,0.63%,6832804,1000000000.0
3,ANET,Arista Networks Inc,Technology,Computer Hardware,USA,146990000000.0,54.15,112.81,3.43%,10411187,1000000000.0
2,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,142760000000.0,33.72,263.38,0.84%,13503398,1000000000.0
13,LOW,"Lowe's Cos., Inc",Consumer Cyclical,Home Improvement Retail,USA,141710000000.0,20.67,247.72,1.31%,5589183,1000000000.0
18,PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA,140730000000.0,17.43,239.97,0.11%,5581016,1000000000.0
4,ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,138890000000.0,218.79,132.15,0.04%,5389609,1000000000.0
16,PDD,PDD Holdings Inc ADR,Consumer Cyclical,Internet Retail,China,138200000000.0,9.79,99.51,-1.48%,12084324,1000000000.0
1,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,134880000000.0,19.0,163.59,1.33%,15049542,1000000000.0
12,KKR,KKR & Co. Inc,Financial,Asset Management,USA,134780000000.0,45.66,147.58,2.82%,8250093,1000000000.0
10,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,134610000000.00002,35.96,338.12,0.74%,4818455,1000000000.0
6,BA,Boeing Co,Industrials,Aerospace & Defense,USA,132810000000.0,-,177.35,0.18%,23166247,1000000000.0
6,C,Citigroup Inc,Financial,Banks - Diversified,USA,132330000000.00002,19.98,69.19,1.13%,27547289,1000000000.0
5,BSX,Boston Scientific Corp,Healthcare,Medical Devices,USA,131530000000.0,73.57,88.95,0.33%,15881495,1000000000.0
8,COP,Conoco Phillips,Energy,Oil & Gas E&P,USA,122970000000.0,11.3,95.12,-0.06%,29539146,1000000000.0
5,APP,Applovin Corp,Technology,Software - Application,USA,122420000000.0,103.17,340.99,6.98%,8898867,1000000000.0
2,ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,120910000000.0,31.41,294.02,0.92%,4165820,1000000000.0
15,PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,USA,120900000000.0,48.69,186.78,-1.36%,13330673,1000000000.0
12,FI,"Fiserv, Inc",Technology,Information Technology Services,USA,119420000000.0,39.75,206.05,1.87%,6751705,1000000000.0
9,DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery,USA,119070000000.0,16.89,432.49,1.37%,2437982,1000000000.0
7,BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General,USA,118400000000.0,-,57.33,1.83%,45935720,1000000000.0
15,LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense,USA,118180000000.0,17.70,489.02,1.95%,3962248,1000000000.0
14,GILD,"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General,USA,117240000000.0,1043.63,92.57,1.62%,22529402,1000000000.0
8,CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,110140000000.0,11.19,273.2,0.01%,2945880,1000000000.0
1,ADI,Analog Devices Inc,Technology,Semiconductors,USA,107130000000.0,64.59,211.78,1.93%,6526120,1000000000.0
17,MDT,Medtronic Plc,Healthcare,Medical Devices,Ireland,105250000000.0,24.73,81.03,1.30%,10706627,1000000000.0
18,MMC,"Marsh & McLennan Cos., Inc",Financial,Insurance Brokers,USA,104680000000.0,26.11,211.74,0.66%,3007464,1000000000.0
9,CHTR,Charter Communications Inc,Communication Services,Telecom Services,USA,99600000000.0,11.01,351.5,-0.36%,2220590,1000000000.0
20,MRVL,Marvell Technology Inc,Technology,Semiconductors,USA,99300000000.0,-,111.9,2.56%,28752213,1000000000.0
19,MSTR,Microstrategy Inc,Technology,Software - Application,USA,98950000000.0,-,364.2,11.56%,44445451,1000000000.0
4,APO,Apollo Global Management Inc,Financial,Asset Management,USA,97570000000.0,18.00,171.03,0.83%,91225333,1000000000.0
13,GEV,GE Vernova Inc,Utilities,Utilities - Renewable,USA,97250000000.0,-,342.66,2.96%,5474064,1000000000.0
16,LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,USA,93120000000.0,23.23,71.79,0.81%,29395264,1000000000.0
19,MO,Altria Group Inc,Consumer Defensive,Tobacco,USA,92710000000.0,9.09,53.84,1.60%,27044237,1000000000.0
10,CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA,92100000000.0,715.42,362.29,3.21%,5172816,1000000000.0
1,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,88280000000.0,47.14,134.21,3.76%,15467211,1000000000.0
3,AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,87930000000.0,77.45,183.73,2.41%,5750210,1000000000.0
14,ICE,Intercontinental Exchange Inc,Financial,Financial Data & Stock Exchanges,USA,87480000000.0,35.61,150.31,1.36%,6272922,1000000000.0
7,CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,86580000000.0,25.08,238.53,0.72%,3172049,1000000000.0
15,INTC,Intel Corp,Technology,Semiconductors,USA,86220000000.0,-,19.52,2.41%,106929251,1000000000.0
2,APH,Amphenol Corp,Technology,Electronic Components,USA,85780000000.0,40.50,70.58,0.81%,11635768,1000000000.0
16,KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials,USA,85160000000.0,28.74,629.37,1.16%,2633378,1000000000.0
11,ELV,Elevance Health Inc,Healthcare,Healthcare Plans,USA,84750000000.0,13.34,365.96,-0.14%,3438136,1000000000.0
3,BN,Brookfield Corporation,Financial,Asset Management,Canada,84610000000.0,119.34,56.09,1.08%,2873049,1000000000.0
12,DUK,Duke Energy Corp,Utilities,Utilities - Regulated Electric,USA,84580000000.0,19.49,108.28,1.12%,6040396,1000000000.0
8,CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA,84480000000.0,57.50,61.87,0.21%,12593148,1000000000.0
10,DELL,Dell Technologies Inc,Technology,Computer Hardware,USA,83850000000.0,20.46,115.77,3.40%,11922954,1000000000.0
4,CDNS,"Cadence Design Systems, Inc",Technology,Software - Application,USA,83120000000.0,79.28,301.47,0.53%,3007579,1000000000.0
17,MAR,"Marriott International, Inc",Consumer Cyclical,Lodging,USA,80310000000.0,29.69,283.96,1.77%,2619113,1000000000.0
18,MDLZ,Mondelez International Inc,Consumer Defensive,Confectioners,USA,79580000000.0,21.07,59.39,0.20%,32240485,1000000000.0
13,HCA,HCA Healthcare Inc,Healthcare,Medical Care Facilities,USA,78480000000.0,13.63,303.62,2.05%,2925497,1000000000.0
5,CI,Cigna Group,Healthcare,Healthcare Plans,USA,77620000000.0,26.12,276.92,0.77%,3475514,1000000000.0
20,PNC,PNC Financial Services Group Inc,Financial,Banks - Regional,USA,77580000000.0,16.30,192.76,1.44%,3934022,1000000000.0
11,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77100000000.0,45.09,186.94,2.27%,6170071,1000000000.0
18,FTNT,Fortinet Inc,Technology,Software - Infrastructure,USA,76330000000.0,48.99,97.19,2.47%,13242732,1000000000.0
6,CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA,74470000000.0,26.44,92.03,-0.96%,9767474,1000000000.0
20,MCK,Mckesson Corporation,Healthcare,Medical Distribution,USA,73660000000.0,30.05,579.74,0.09%,2057106,1000000000.0
19,GD,General Dynamics Corp,Industrials,Aerospace & Defense,USA,73430000000.0,20.08,263.64,1.29%,3524941,1000000000.0
10,DASH,DoorDash Inc,Communication Services,Internet Content & Information,USA,72450000000.0,-,171.0,2.00%,5875462,1000000000.0
12,EMR,Emerson Electric Co,Industrials,Specialty Industrial Machinery,USA,71680000000.0,36.20,124.09,1.42%,10431271,1000000000.0
5,CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA,71590000000.0,25.05,227.02,0.82%,4983892,1000000000.0
9,COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges,USA,71000000000.0,47.64,278.71,1.75%,9929368,1000000000.0
6,COF,Capital One Financial Corp,Financial,Credit Services,USA,69320000000.0,16.87,178.65,1.70%,5148840,1000000000.0
14,EPD,Enterprise Products Partners L P,Energy,Oil & Gas Midstream,USA,68190000000.0,11.62,30.99,1.51%,5879959,1000000000.0
13,EOG,"EOG Resources, Inc",Energy,Oil & Gas E&P,USA,67420000000.0,9.58,119.04,0.69%,10023298,1000000000.0
3,BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies,USA,67160000000.0,38.33,227.68,1.72%,3083279,1000000000.0
15,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,66660000000.0,13.88,18.86,3.23%,23221580,1000000000.0
17,FDX,Fedex Corp,Industrials,Integrated Freight & Logistics,USA,66370000000.00001,17.58,275.73,-0.05%,8091022,1000000000.0
2,APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,66010000000.00001,17.17,294.99,0.62%,2248694,1000000000.0
1,ADSK,Autodesk Inc,Technology,Software - Application,USA,65080000000.0,59.22,298.12,1.53%,4190264,1000000000.0
7,CRH,CRH Plc,Basic Materials,Building Materials,USA,64010000000.00001,18.72,93.64,0.62%,6652431,1000000000.0
4,CARR,Carrier Global Corp,Industrials,Building Products & Equipment,USA,63110000000.0,17.89,68.49,2.70%,11168972,1000000000.0
8,CSX,CSX Corp,Industrials,Railroads,USA,61950000000.0,17.12,31.85,0.85%,20140549,1000000000.0
8,HLT,Hilton Worldwide Holdings Inc,Consumer Cyclical,Lodging,USA,61710000000.0,53.51,249.42,1.49%,3026498,1000000000.0
11,KMI,Kinder Morgan Inc,Energy,Oil & Gas Midstream,USA,61040000000.0,23.6,26.85,2.32%,28503439,1000000000.0
18,OKE,Oneok Inc,Energy,Oil & Gas Midstream,USA,59920000000.0,20.95,100.08,2.48%,8587975,1000000000.0
11,DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty,USA,59820000000.0,152.31,178.57,1.00%,4801648,1000000000.0
7,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,58630000000.0,5.53,51.81,2.92%,23720132,1000000000.0
1,AFL,Aflac Inc,Financial,Insurance - Life,USA,57860000000.0,15.46,102.69,1.42%,4640279,1000000000.0
3,BK,Bank Of New York Mellon Corp,Financial,Banks - Diversified,USA,57330000000.0,16.88,77.62,1.58%,13014271,1000000000.0
15,NTES,NetEase Inc ADR,Communication Services,Electronic Gaming & Multimedia,China,57320000000.0,15.64,92.09,0.30%,642431,1000000000.0
12,MET,Metlife Inc,Financial,Insurance - Life,USA,57210000000.0,16.41,81.36,1.56%,8226202,1000000000.0
16,FCX,Freeport-McMoRan Inc,Basic Materials,Copper,USA,56740000000.0,28.27,38.86,1.62%,22180860,1000000000.0
2,ARES,Ares Management Corp,Financial,Asset Management,USA,56710000000.0,79.07,176.04,2.90%,2426986,1000000000.0
9,CVS,CVS Health Corp,Healthcare,Healthcare Plans,USA,56560000000.0,11.27,44.36,1.32%,21081407,1000000000.0
4,CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,55880000000.0,40.8,58.22,-0.39%,9002737,1000000000.0
19,PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery,USA,55650000000.0,11.77,105.32,0.78%,6269136,1000000000.0
9,JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,Ireland,54710000000.0,31.79,80.64,2.45%,6313597,1000000000.0
17,NXPI,NXP Semiconductors NV,Technology,Semiconductors,Netherlands,54200000000.0,20.07,210.24,1.43%,6099319,1000000000.0
14,NSC,Norfolk Southern Corp,Industrials,Railroads,USA,53790000000.0,21.96,234.15,1.54%,2698255,1000000000.0
2,ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,52270000000.0,12.5,193.56,1.99%,2351387,1000000000.0
5,DDOG,Datadog Inc,Technology,Software - Application,USA,51650000000.0,276.68,149.46,1.72%,7381110,1000000000.0
13,MNST,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic,USA,51110000000.0,33.23,51.72,1.61%,11411336,1000000000.0
1,AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,50210000000.0,18.62,92.75,1.65%,6745872,1000000000.0
16,NU,Nu Holdings Ltd,Financial,Banks - Regional,Cayman Islands,49540000000.0,28.47,10.38,0.48%,65571596,1000000000.0
19,MPLX,MPLX LP,Energy,Oil & Gas Midstream,USA,49360000000.0,11.13,47.28,2.47%,3290137,1000000000.0
10,JD,JD.com Inc ADR,Consumer Cyclical,Internet Retail,China,49350000000.0,11.36,35.64,-0.75%,12434556,1000000000.0
17,LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,48910000000.0,27.40,379.42,1.57%,3152623,1000000000.0
11,FLUT,Flutter Entertainment Plc,Consumer Cyclical,Gambling,USA,47750000000.0,-,264.78,1.32%,3226752,1000000000.0
16,LNG,Cheniere Energy Inc,Energy,Oil & Gas Midstream,USA,47540000000.0,13.33,208.89,1.43%,2599238,1000000000.0
5,CVNA,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships,USA,46910000000.0,26721.43,224.46,0.66%,4870857,1000000000.0
2,AIG,American International Group Inc,Financial,Insurance - Diversified,USA,46360000000.0,19.84,72.69,2.25%,12054574,1000000000.0
8,FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA,45800000000.0,8.87,154.94,1.23%,7828514,1000000000.0
6,D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,USA,45640000000.0,19.14,53.66,1.26%,8671933,1000000000.0
12,HWM,Howmet Aerospace Inc,Industrials,Aerospace & Defense,USA,45640000000.0,42.43,110.83,1.35%,5806151,1000000000.0
20,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,USA,45590000000.0,14.19,110.37,0.02%,8175260,1000000000.0
6,DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction,USA,45560000000.0,9.72,139.61,1.73%,7821322,1000000000.0
17,KR,Kroger Co,Consumer Defensive,Grocery Stores,USA,45410000000.0,16.37,61.85,1.46%,38429112,1000000000.0
20,NDAQ,Nasdaq Inc,Financial,Financial Data & Stock Exchanges,USA,44840000000.0,46.42,77.7,0.41%,7114254,1000000000.0
10,EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,USA,44650000000.0,10.79,74.81,1.19%,14033776,1000000000.0
10,FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services,USA,44580000000.0,60.57,81.46,1.65%,8050130,1000000000.0
7,DFS,Discover Financial Services,Financial,Credit Services,USA,44470000000.0,13.97,173.16,2.30%,3770636,1000000000.0
4,COR,Cencora Inc,Healthcare,Medical Distribution,USA,44280000000.0,30.34,227.69,0.63%,1942692,1000000000.0
13,KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,43870000000.0,19.59,32.37,-0.09%,24740067,1000000000.0
14,KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products,USA,43750000000.0,17.03,131.32,-0.10%,5478424,1000000000.0
18,MPC,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing,USA,43430000000.0,10.56,133.38,1.31%,11476848,1000000000.0
9,FAST,Fastenal Co,Industrials,Industrial Distribution,USA,43320000000.0,37.18,74.82,1.07%,7629885,1000000000.0
2,AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,42700000000.0,31.96,183.36,0.69%,2328114,1000000000.0
18,KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products,USA,42050000000.0,39.28,21.77,0.74%,22514649,1000000000.0
5,CPNG,Coupang Inc,Consumer Cyclical,Internet Retail,USA,41650000000.0,40.38,22.94,0.92%,4768824,1000000000.0
13,GLW,"Corning, Inc",Technology,Electronic Components,USA,40720000000.0,264.6,47.31,0.53%,11288557,1000000000.0
4,CBRE,CBRE Group Inc,Real Estate,Real Estate Services,USA,40630000000.0,41.57,129.16,2.79%,6056972,1000000000.0
7,CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,USA,40430000000.0,58.24,57.48,2.35%,10975926,1000000000.0
3,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,40420000000.0,18.06,40.32,1.31%,17920565,1000000000.0
20,NET,Cloudflare Inc,Technology,Software - Infrastructure,USA,40140000000.0,-,112.69,3.79%,5113727,1000000000.0
11,F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,USA,39830000000.0,11.27,9.88,1.44%,86032455,1000000000.0
8,DAL,"Delta Air Lines, Inc",Industrials,Airlines,USA,39680000000.0,8.46,60.93,0.91%,13914523,1000000000.0
14,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,39660000000.0,14.96,128.19,0.42%,3312421,1000000000.0
3,CCI,Crown Castle Inc,Real Estate,REIT - Specialty,USA,39370000000.0,32.16,90.66,-0.08%,8348715,1000000000.0
6,CTSH,Cognizant Technology Solutions Corp,Technology,Information Technology Services,USA,39160000000.0,17.53,79.23,-0.33%,5836208,1000000000.0
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,39030000000.0,30.38,134.51,0.99%,4342841,1000000000.0
9,EA,"Electronic Arts, Inc",Communication Services,Electronic Gaming & Multimedia,USA,38740000000.0,37.95,147.8,-0.06%,4045669,1000000000.0
19,LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,USA,38600000000.0,25.97,52.25,1.89%,8653069,1000000000.0
16,IR,Ingersoll-Rand Inc,Industrials,Specialty Industrial Machinery,USA,37610000000.0,44.85,92.28,1.12%,5140092,1000000000.0
17,KHC,Kraft Heinz Co,Consumer Defensive,Packaged Foods,USA,37420000000.0,27.41,30.52,1.40%,20431009,1000000000.0
20,ODFL,"Old Dominion Freight Line, Inc",Industrials,Trucking,USA,37410000000.0,31.7,181.37,-3.39%,4959298,1000000000.0
15,LEN,Lennar Corp,Consumer Cyclical,Residential Construction,USA,37220000000.0,9.63,138.08,-0.23%,9056856,1000000000.0
8,EXC,Exelon Corp,Utilities,Utilities - Regulated Electric,USA,37030000000.0,15.26,37.02,-0.46%,20813114,1000000000.0
15,IQV,IQVIA Holdings Inc,Healthcare,Diagnostics & Research,USA,36880000000.0,25.87,197.27,3.00%,3345871,1000000000.0
9,GEHC,GE HealthCare Technologies Inc,Healthcare,Medical Devices,USA,36740000000.0,21.61,78.91,1.91%,11164311,1000000000.0
7,DKNG,DraftKings Inc,Consumer Cyclical,Gambling,USA,36390000000.0,-,40.35,2.41%,12510347,1000000000.0
12,FERG,Ferguson Enterprises Inc,Industrials,Industrial Distribution,USA,36320000000.0,21.41,178.17,1.95%,3703867,1000000000.0
5,CCL,Carnival Corp,Consumer Cyclical,Travel Services,USA,35660000000.0,19.27,26.8,6.43%,60776444,1000000000.0
12,HOOD,Robinhood Markets Inc,Financial,Capital Markets,USA,35160000000.0,65.32,38.33,3.76%,28922850,1000000000.0
1,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,35000000000.0,6.11,90.99,2.25%,5074887,1000000000.0
10,GIS,"General Mills, Inc",Consumer Defensive,Packaged Foods,USA,34840000000.0,13.84,63.61,-0.62%,10672784,1000000000.0
3,CCEP,Coca-Cola Europacific Partners Plc,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom,34820000000.0,19.82,75.17,0.62%,2515744,1000000000.0
15,HSY,Hershey Company,Consumer Defensive,Confectioners,USA,34720000000.0,19.61,170.26,0.78%,2534825,1000000000.0
10,DXCM,Dexcom Inc,Healthcare,Medical Devices,USA,33000000000.0,47.98,80.04,5.57%,11493428,1000000000.0
7,DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories,USA,32939999999.999996,37.13,210.97,2.77%,3713240,1000000000.0
13,ETR,Entergy Corp,Utilities,Utilities - Regulated Electric,USA,32490000000.000004,18.29,75.13,0.86%,6773013,1000000000.0
5,DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals,USA,32479999999.999996,40.65,77.28,0.56%,4820709,1000000000.0
11,HIG,Hartford Financial Services Group Inc,Financial,Insurance - Property & Casualty,USA,32450000000.000004,10.96,109.47,2.25%,5733648,1000000000.0
19,MTB,M & T Bank Corp,Financial,Banks - Regional,USA,32130000000.000004,14.02,189.48,2.19%,3342347,1000000000.0
