No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Multiplier
16,IRM,Iron Mountain Inc,Real Estate,REIT - Specialty,USA,31900000000.0,297.06,105.1,3.42%,5696040,1000000000.0
11,EBAY,EBay Inc,Consumer Cyclical,Internet Retail,USA,31660000000.0,16.42,65.01,1.66%,12495942,1000000000.0
6,ED,"Consolidated Edison, Inc",Utilities,Utilities - Regulated Electric,USA,31530000000.0,16.94,90.03,1.08%,4836735,1000000000.0
7,EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,31410000000.0,23.33,79.52,2.04%,5974284,1000000000.0
13,HPQ,HP Inc,Technology,Computer Hardware,USA,31350000000.0,11.71,32.94,1.48%,17670986,1000000000.0
14,HUM,Humana Inc,Healthcare,Healthcare Plans,USA,31180000000.0,21.88,247.1,4.80%,4222422,1000000000.0
19,LYV,Live Nation Entertainment Inc,Communication Services,Entertainment,USA,30990000000.0,142.71,133.28,0.82%,4148321,1000000000.0
6,CNC,Centene Corp,Healthcare,Healthcare Plans,USA,30010000000.0,10.33,59.58,-0.22%,26095721,1000000000.0
4,CSGP,"Costar Group, Inc",Real Estate,Real Estate Services,USA,29960000000.0,166.14,71.44,2.29%,6921211,1000000000.0
3,BRO,"Brown & Brown, Inc",Financial,Insurance Brokers,USA,29610000000.0,28.03,102.93,0.62%,2702813,1000000000.0
18,MCHP,"Microchip Technology, Inc",Technology,Semiconductors,USA,29550000000.0,38.71,55.51,-0.86%,26960450,1000000000.0
17,HPE,Hewlett Packard Enterprise Co,Technology,Communication Equipment,USA,29400000000.0,11.43,21.61,3.45%,43676320,1000000000.0
14,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,29240000000.0,14.32,42.93,1.59%,11112531,1000000000.0
15,GDDY,Godaddy Inc,Technology,Software - Infrastructure,USA,29190000000.0,15.88,205.41,1.22%,2417331,1000000000.0
4,CAH,"Cardinal Health, Inc",Healthcare,Medical Distribution,USA,28940000000.0,22.98,118.28,1.09%,9160340,1000000000.0
16,GPN,"Global Payments, Inc",Technology,Software - Infrastructure,USA,28880000000.0,21.12,112.03,1.31%,3247657,1000000000.0
18,KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,USA,28860000000.0,46.66,163.22,2.11%,4499813,1000000000.0
6,EQR,Equity Residential Properties Trust,Real Estate,REIT - Residential,USA,28640000000.0,29.87,71.35,2.68%,4765354,1000000000.0
8,DOW,Dow Inc,Basic Materials,Chemicals,USA,28560000000.0,26.77,39.94,2.15%,17538317,1000000000.0
20,ON,ON Semiconductor Corp,Technology,Semiconductors,USA,28190000000.0,16.25,65.5,1.08%,12537763,1000000000.0
13,K,Kellanova Co,Consumer Defensive,Packaged Foods,USA,27800000000.0,27.67,80.5,0.20%,5307172,1000000000.0
2,BNTX,BioNTech SE ADR,Healthcare,Biotechnology,Germany,27110000000.0,-,113.08,1.56%,924764,1000000000.0
12,EL,"Estee Lauder Cos., Inc",Consumer Defensive,Household & Personal Products,USA,26570000000.0,132.79,74.36,-0.46%,7619375,1000000000.0
8,FTV,Fortive Corp,Technology,Scientific & Technical Instruments,USA,26260000000.0,29.67,74.45,1.65%,8665731,1000000000.0
4,CHD,"Church & Dwight Co., Inc",Consumer Defensive,Household & Personal Products,USA,26060000000.0,47.66,106.1,0.24%,3413335,1000000000.0
7,EQT,EQT Corp,Energy,Oil & Gas E&P,USA,25860000000.0,50.95,42.99,0.80%,12796823,1000000000.0
12,IOT,Samsara Inc,Technology,Software - Infrastructure,USA,25830000000.0,-,44.32,3.87%,5982687,1000000000.0
5,DTE,DTE Energy Co,Utilities,Utilities - Regulated Electric,USA,25330000000.0,16.28,120.18,1.75%,3035925,1000000000.0
5,BXP,BXP Inc,Real Estate,REIT - Office,USA,25220000000.0,32.37,74.64,1.79%,3031969,1000000000.0
2,AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water,USA,24960000000.0,24.98,125.92,1.69%,3294444,1000000000.0
1,ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,24700000000.0,14.40,50.49,2.25%,11987446,1000000000.0
16,NTAP,Netapp Inc,Technology,Computer Hardware,USA,24470000000.0,21.74,118.45,1.60%,3813565,1000000000.0
9,EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services,USA,24420000000.0,23.82,184.75,2.98%,4133575,1000000000.0
11,HBAN,"Huntington Bancshares, Inc",Financial,Banks - Regional,USA,24320000000.0,15.85,16.32,2.58%,41935798,1000000000.0
18,PPL,PPL Corp,Utilities,Utilities - Regulated Electric,USA,24240000000.0,29.17,32.43,1.28%,9993355,1000000000.0
14,LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,United Kingdom,24040000000.0,11.19,73.5,0.73%,6570571,1000000000.0
1,AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,24030000000.0,21.01,89.29,0.81%,3693703,1000000000.0
1,BIDU,Baidu Inc ADR,Communication Services,Internet Content & Information,China,24020000000.0,10.59,85.8,0.26%,2821120,1000000000.0
19,RKT,Rocket Companies Inc,Financial,Mortgage Finance,USA,23960000000.0,-,11.82,1.63%,6288388,1000000000.0
5,CDW,CDW Corp,Technology,Information Technology Services,USA,23430000000.0,21.32,174.53,0.72%,2589272,1000000000.0
9,GFS,GlobalFoundries Inc,Technology,Semiconductors,USA,23410000000.0,31.28,41.72,1.02%,3492087,1000000000.0
10,FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric,USA,23300000000.0,25.70,39.79,1.61%,7886483,1000000000.0
17,PHM,PulteGroup Inc,Consumer Cyclical,Residential Construction,USA,23000000000.0,8.15,110.52,1.50%,4504651,1000000000.0
10,HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,USA,22990000000.0,9.06,25.97,0.78%,17989015,1000000000.0
3,BAM,Brookfield Asset Management Ltd,Financial,Asset Management,Canada,22840000000.0,49.49,54.42,0.37%,1113339,1000000000.0
3,CCJ,Cameco Corp,Energy,Uranium,Canada,22820000000.0,267.14,52.44,-0.89%,3551718,1000000000.0
18,ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,22680000000.0,48.40,46.92,-0.19%,4840914,1000000000.0
9,DRI,"Darden Restaurants, Inc",Consumer Cyclical,Restaurants,USA,22540000000.0,21.51,187.59,2.26%,4138357,1000000000.0
20,TOST,Toast Inc,Technology,Software - Infrastructure,USA,22330000000.0,-,37.58,4.59%,10692702,1000000000.0
11,FOX,Fox Corporation,Communication Services,Entertainment,USA,22270000000.0,11.40,46.65,1.48%,2452065,1000000000.0
17,RF,Regions Financial Corp,Financial,Banks - Regional,USA,22160000000.0,13.42,23.77,2.59%,29359053,1000000000.0
2,ALAB,Astera Labs Inc,Technology,Semiconductors,USA,22120000000.0,-,132.17,5.50%,11480383,1000000000.0
8,EXE,Expand Energy Corp,Energy,Oil & Gas E&P,USA,22050000000.0,58.48,94.87,0.58%,7926462,1000000000.0
12,ILMN,Illumina Inc,Healthcare,Diagnostics & Research,USA,21900000000.0,-,136.02,1.51%,14342252,1000000000.0
14,NTRA,Natera Inc,Healthcare,Diagnostics & Research,USA,21880000000.0,-,161.88,2.40%,3137784,1000000000.0
11,IFF,International Flavors & Fragrances Inc,Basic Materials,Specialty Chemicals,USA,21870000000.0,-,85.74,-0.23%,4202973,1000000000.0
5,CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric,USA,21730000000.0,21.56,32.54,2.46%,14446695,1000000000.0
19,PSTG,Pure Storage Inc,Technology,Computer Hardware,USA,21700000000.0,169.79,64.4,3.30%,6473904,1000000000.0
2,AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,21480000000.0,-,65.64,4.19%,8692913,1000000000.0
10,EDR,Endeavor Group Holdings Inc,Communication Services,Entertainment,USA,21440000000.0,-,31.21,0.39%,1767378,1000000000.0
13,MKC,"McCormick & Co., Inc",Consumer Defensive,Packaged Foods,USA,21320000000.0,26.83,78.86,0.79%,3337860,1000000000.0
19,TECK,Teck Resources Ltd,Basic Materials,Other Industrial Metals & Mining,Canada,21270000000.0,65.61,40.94,2.38%,3471376,1000000000.0
7,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,21260000000.0,-,56.95,1.88%,7235117,1000000000.0
4,BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General,USA,21210000000.0,13.23,146.47,-0.62%,5775355,1000000000.0
15,NTRS,Northern Trust Corp,Financial,Asset Management,USA,20710000000.0,12.76,102.48,1.96%,3477116,1000000000.0
3,CLX,Clorox Co,Consumer Defensive,Household & Personal Products,USA,20390000000.0,57.55,164.44,0.19%,4020577,1000000000.0
6,DVN,Devon Energy Corp,Energy,Oil & Gas E&P,USA,20380000000.0,5.70,30.77,0.82%,34625588,1000000000.0
17,LUV,Southwest Airlines Co,Industrials,Airlines,USA,20260000000.0,-,33.28,1.53%,14984920,1000000000.0
12,FSLR,First Solar Inc,Technology,Solar,USA,20250000000.0,15.71,182.39,3.70%,3383811,1000000000.0
4,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,20160000000.0,19.08,66.61,1.29%,3444948,1000000000.0
14,INVH,Invitation Homes Inc,Real Estate,REIT - Residential,USA,19950000000.0,79.22,32.14,1.32%,10158091,1000000000.0
16,PINS,Pinterest Inc,Communication Services,Internet Content & Information,USA,19850000000.0,95.31,29.49,-0.41%,16806902,1000000000.0
2,CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA,19600000000.0,17.10,43.45,2.36%,12712350,1000000000.0
16,LDOS,Leidos Holdings Inc,Technology,Information Technology Services,USA,19540000000.0,16.50,144.81,1.12%,3054724,1000000000.0
1,AER,Aercap Holdings N.V,Industrials,Rental & Leasing Services,Ireland,19440000000.0,7.49,94.53,1.56%,1557725,1000000000.0
13,GRAB,Grab Holdings Limited,Technology,Software - Application,Singapore,19330000000.0,-,4.9,-0.41%,26915612,1000000000.0
20,SNAP,Snap Inc,Communication Services,Internet Content & Information,USA,19290000000.0,-,11.4,0.88%,38177626,1000000000.0
15,IP,International Paper Co,Consumer Cyclical,Packaging & Containers,USA,19130000000.0,46.30,54.45,1.13%,6633537,1000000000.0
8,DOCU,DocuSign Inc,Technology,Software - Application,USA,19130000000.0,19.45,94.41,0.28%,12471202,1000000000.0
6,COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies,USA,18960000000.0,47.78,93.44,1.64%,2784859,1000000000.0
20,ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories,Switzerland,18960000000.0,130.82,57.14,3.63%,2192415,1000000000.0
20,SMCI,Super Micro Computer Inc,Technology,Computer Hardware,USA,18710000000.0,15.87,31.59,1.12%,85478965,1000000000.0
18,NRG,NRG Energy Inc,Utilities,Utilities - Independent Power Producers,USA,18570000000.0,21.91,90.45,1.34%,6470121,1000000000.0
6,CG,Carlyle Group Inc,Financial,Asset Management,USA,18400000000.0,169.32,50.22,2.43%,3839977,1000000000.0
5,BBY,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail,USA,18370000000.0,14.61,85.55,0.41%,5212665,1000000000.0
15,MDB,MongoDB Inc,Technology,Software - Infrastructure,USA,18340000000.0,-,245.63,0.26%,3287444,1000000000.0
10,DKS,"Dicks Sporting Goods, Inc",Consumer Cyclical,Specialty Retail,USA,17920000000.0,15.63,218.76,0.54%,1757248,1000000000.0
1,BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment,USA,17820000000.0,14.71,150.5,2.88%,4261438,1000000000.0
18,NTNX,Nutanix Inc,Technology,Software - Infrastructure,USA,17750000000.0,-,65.07,1.83%,4784148,1000000000.0
3,ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,17670000000.0,60.47,99.17,1.93%,4019500,1000000000.0
19,OMC,"Omnicom Group, Inc",Communication Services,Advertising Agencies,USA,17650000000.0,12.13,88.86,1.10%,6003337,1000000000.0
8,CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P,USA,17450000000.0,14.38,23.68,0.04%,18267549,1000000000.0
13,HRL,Hormel Foods Corp,Consumer Defensive,Packaged Foods,USA,17450000000.0,21.60,31.68,0.32%,4771119,1000000000.0
11,GEN,Gen Digital Inc,Technology,Software - Infrastructure,USA,17390000000.0,28.37,27.83,1.38%,13620765,1000000000.0
9,DG,Dollar General Corp,Consumer Defensive,Discount Stores,USA,17370000000.0,12.58,76.4,3.40%,5794090,1000000000.0
14,ICLR,Icon Plc,Healthcare,Diagnostics & Research,Ireland,17370000000.0,23.11,207.51,1.42%,789512,1000000000.0
15,KEY,Keycorp,Financial,Banks - Regional,USA,17220000000.0,1553.64,17.09,1.67%,28981745,1000000000.0
7,CRBG,Corebridge Financial Inc,Financial,Asset Management,USA,17200000000.0,-,29.66,1.96%,5506747,1000000000.0
4,BAH,Booz Allen Hamilton Holding Corp,Industrials,Consulting Services,USA,17090000000.0,20.62,131.19,1.97%,2892376,1000000000.0
17,NI,NiSource Inc,Utilities,Utilities - Regulated Gas,USA,17020000000.0,21.98,36.17,0.84%,10403991,1000000000.0
19,SOFI,SoFi Technologies Inc,Financial,Credit Services,USA,17010000000.000002,129.75,15.35,2.13%,52146105,1000000000.0
1,BALL,Ball Corp,Consumer Cyclical,Packaging & Containers,USA,16780000000.000002,-,55.8,0.79%,6666106,1000000000.0
13,JBL,Jabil Inc,Technology,Electronic Components,USA,16719999999.999998,13.91,145.0,3.25%,6852215,1000000000.0
8,DT,Dynatrace Inc,Technology,Software - Application,USA,16640000000.0,100.61,54.64,2.02%,6623301,1000000000.0
6,DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA,16570000000.0,-,72.94,5.62%,6987640,1000000000.0
12,HOLX,"Hologic, Inc",Healthcare,Medical Instruments & Supplies,USA,16460000000.0,21.58,71.65,1.26%,8560791,1000000000.0
16,MAS,Masco Corp,Industrials,Building Products & Equipment,USA,16420000000.000002,19.79,74.39,2.34%,4394588,1000000000.0
12,GPC,Genuine Parts Co,Consumer Cyclical,Auto Parts,USA,16250000000.0,14.89,115.73,0.97%,2689392,1000000000.0
15,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,USA,16070000000.0,43.56,23.42,1.78%,9672348,1000000000.0
14,JEF,Jefferies Financial Group Inc,Financial,Capital Markets,USA,15860000000.0,32.61,76.22,1.28%,3488001,1000000000.0
6,AS,Amer Sports Inc,Consumer Cyclical,Leisure,Finland,15780000000.0,-,28.18,2.47%,1871829,1000000000.0
10,EXPD,"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics,USA,15430000000.0,21.74,111.48,-1.12%,2354344,1000000000.0
2,BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies,USA,15380000000.0,128.65,29.5,2.08%,12194858,1000000000.0
12,FLEX,Flex Ltd,Technology,Electronic Components,USA,15380000000.0,17.14,38.64,2.63%,8455536,1000000000.0
5,COHR,Coherent Corp,Technology,Scientific & Technical Instruments,USA,15340000000.0,-,97.67,1.55%,4915158,1000000000.0
16,LNT,Alliant Energy Corp,Utilities,Utilities - Regulated Electric,USA,15310000000.0,22.89,58.95,1.18%,2567531,1000000000.0
9,ENTG,Entegris Inc,Technology,Semiconductor Equipment & Materials,USA,15260000000.0,66.05,99.46,1.58%,4080726,1000000000.0
17,MRNA,Moderna Inc,Healthcare,Biotechnology,USA,15090000000.0,-,39.39,-0.43%,35461757,1000000000.0
10,EQH,Equitable Holdings Inc,Financial,Insurance - Diversified,USA,15080000000.0,-,46.52,3.42%,8130476,1000000000.0
18,RPRX,Royalty Pharma plc,Healthcare,Biotechnology,USA,15070000000.0,9.75,24.92,2.64%,7573804,1000000000.0
4,CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA,14990000000.0,13.46,84.98,1.38%,6297828,1000000000.0
20,RIVN,Rivian Automotive Inc,Consumer Cyclical,Auto Manufacturers,USA,14950000000.0,-,13.83,5.90%,41655667,1000000000.0
8,BSY,Bentley Systems Inc,Technology,Software - Application,USA,14670000000.0,43.28,48.14,0.84%,2583407,1000000000.0
20,SYM,Symbotic Inc,Industrials,Specialty Industrial Machinery,USA,14670000000.0,-,23.99,4.12%,3249412,1000000000.0
7,DOC,Healthpeak Properties Inc,Real Estate,REIT - Healthcare Facilities,USA,14620000000.0,43.03,20.12,1.82%,12559116,1000000000.0
1,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,14600000000.0,28.41,95.89,1.39%,3022643,1000000000.0
7,AVTR,Avantor Inc,Healthcare,Medical Instruments & Supplies,USA,14570000000.0,46.68,21.21,0.90%,10967710,1000000000.0
18,OKTA,Okta Inc,Technology,Software - Infrastructure,USA,14550000000.0,-,83.28,1.95%,4803542,1000000000.0
11,EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric,USA,14340000000.0,16.59,61.43,1.49%,3325609,1000000000.0
8,CHWY,Chewy Inc,Consumer Cyclical,Internet Retail,USA,14310000000.0,36.47,33.72,3.82%,11045664,1000000000.0
4,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,14280000000.0,6.57,58.86,3.25%,15715428,1000000000.0
9,CNH,CNH Industrial NV,Industrials,Farm & Heavy Construction Machinery,United Kingdom,14090000000.0,8.17,11.14,1.27%,14812450,1000000000.0
17,MBLY,Mobileye Global Inc,Consumer Cyclical,Auto Parts,Israel,14030000000.0,-,17.51,-1.19%,6319775,1000000000.0
11,FTAI,FTAI Aviation Ltd,Industrials,Rental & Leasing Services,USA,13930000000.0,-,133.49,1.79%,2480765,1000000000.0
3,CAVA,Cava Group Inc,Consumer Cyclical,Restaurants,USA,13870000000.0,261.48,119.05,1.71%,2945764,1000000000.0
5,ARCC,Ares Capital Corp,Financial,Asset Management,USA,13810000000.0,8.22,21.38,1.18%,9042881,1000000000.0
19,REG,Regency Centers Corporation,Real Estate,REIT - Retail,USA,13730000000.0,34.78,73.8,1.91%,3284033,1000000000.0
13,GME,Gamestop Corporation,Consumer Cyclical,Specialty Retail,USA,13700000000.0,166.78,29.82,2.83%,19324318,1000000000.0
3,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,13670000000.0,38.16,36.52,1.28%,6057309,1000000000.0
14,INCY,Incyte Corp,Healthcare,Biotechnology,USA,13610000000.0,487.54,68.84,2.65%,6766738,1000000000.0
2,AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,United Kingdom,13590000000.0,17.72,9.4,0.00%,39566981,1000000000.0
11,ELS,Equity Lifestyle Properties Inc,Real Estate,REIT - Residential,USA,13420000000.0,35.50,66.61,0.65%,4409066,1000000000.0
16,LINE,Lineage Inc,Real Estate,REIT - Industrial,USA,13380000000.0,-,58.57,2.93%,2597067,1000000000.0
13,HST,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,13130000000.0,17.81,18.2,3.23%,19632759,1000000000.0
13,GLPI,Gaming and Leisure Properties Inc,Real Estate,REIT - Specialty,USA,13090000000.0,16.45,47.08,1.33%,4294800,1000000000.0
6,CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA,13080000000.0,26.49,27.11,1.12%,14502479,1000000000.0
15,KMX,Carmax Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,13060000000.0,28.64,84.27,0.05%,4188560,1000000000.0
7,CIEN,CIENA Corp,Technology,Communication Equipment,USA,12850000000.0,152.95,87.38,1.85%,3838621,1000000000.0
14,INSM,Insmed Inc,Healthcare,Biotechnology,USA,12790000000.0,-,70.44,1.48%,5932371,1000000000.0
4,BMRN,Biomarin Pharmaceutical Inc,Healthcare,Biotechnology,USA,12640000000.0,39.54,65.66,1.02%,3974318,1000000000.0
17,NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services,USA,12530000000.0,26.11,26.91,5.90%,20032746,1000000000.0
15,JNPR,Juniper Networks Inc,Technology,Communication Equipment,USA,12410000000.0,49.09,37.24,0.65%,5209100,1000000000.0
12,FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,USA,12400000000.0,19.01,28.89,0.91%,7244722,1000000000.0
2,AUR,Aurora Innovation Inc,Technology,Information Technology Services,USA,12370000000.0,-,7.19,0.14%,17594794,1000000000.0
3,AU,AngloGold Ashanti Plc,Basic Materials,Gold,United Kingdom,12370000000.0,292.89,23.9,2.75%,5970156,1000000000.0
3,BJ,BJ's Wholesale Club Holdings Inc,Consumer Defensive,Discount Stores,USA,12360000000.0,22.52,93.77,-0.24%,2894464,1000000000.0
9,CPB,Campbells Co,Consumer Defensive,Packaged Foods,USA,12350000000.0,22.60,41.5,-0.19%,8828872,1000000000.0
7,CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,12260000000.0,36.09,104.34,-0.63%,1982985,1000000000.0
16,KVYO,Klaviyo Inc,Technology,Software - Infrastructure,USA,12250000000.0,-,44.08,3.04%,3013396,1000000000.0
19,RBRK,Rubrik Inc,Technology,Software - Infrastructure,USA,12090000000.0,-,66.12,-1.28%,8305580,1000000000.0
10,DAY,Dayforce Inc,Technology,Software - Application,USA,11940000000.0,225.42,74.84,1.14%,3705217,1000000000.0
4,BIRK,Birkenstock Holding Plc,Consumer Cyclical,Footwear & Accessories,United Kingdom,11900000000.0,54.53,60.4,4.88%,2428251,1000000000.0
17,PAA,Plains All American Pipeline LP,Energy,Oil & Gas Midstream,USA,11890000000.0,15.07,16.94,-0.24%,6131740,1000000000.0
20,SJM,J.M. Smucker Co,Consumer Defensive,Packaged Foods,USA,11790000000.0,22.20,109.89,0.84%,1989452,1000000000.0
8,CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,11710000000.0,-,68.51,2.19%,6446544,1000000000.0
11,EXAS,Exact Sciences Corp,Healthcare,Diagnostics & Research,USA,11640000000.0,-,59.4,5.86%,3247381,1000000000.0
18,PCOR,Procore Technologies Inc,Technology,Software - Application,USA,11540000000.0,-,76.53,1.39%,3083221,1000000000.0
9,CTLT,Catalent Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,11520000000.0,-,63.48,0.00%,0,1000000000.0
16,NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,United Kingdom,11450000000.0,20.34,69.55,-0.09%,3152934,1000000000.0
2,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,11370000000.0,11.38,19.52,0.57%,9898529,1000000000.0
10,DOCS,Doximity Inc,Healthcare,Health Information Services,USA,11320000000.0,66.53,57.83,4.80%,7927960,1000000000.0
12,FND,Floor & Decor Holdings Inc,Consumer Cyclical,Home Improvement Retail,USA,11310000000.0,56.13,101.38,4.03%,3665485,1000000000.0
1,AAL,American Airlines Group Inc,Industrials,Airlines,USA,11250000000.0,52.42,16.88,1.44%,28616131,1000000000.0
6,BG,Bunge Global SA,Consumer Defensive,Farm Products,USA,11210000000.0,10.00,79.1,1.51%,7008582,1000000000.0
5,BEN,"Franklin Resources, Inc",Financial,Asset Management,USA,11010000000.0,23.79,20.49,2.60%,9415720,1000000000.0
14,IPG,"Interpublic Group Of Cos., Inc",Communication Services,Advertising Agencies,USA,11000000000.0,13.73,29.07,1.54%,20514568,1000000000.0
14,FHN,First Horizon Corporation,Financial,Banks - Regional,USA,10940000000.0,14.49,19.94,3.48%,19423341,1000000000.0
19,PCVX,Vaxcyte Inc,Healthcare,Biotechnology,USA,10820000000.0,-,86.53,0.37%,3859357,1000000000.0
18,NLY,Annaly Capital Management Inc,Real Estate,REIT - Mortgage,USA,10800000000.0,-,19.02,1.33%,29157810,1000000000.0
7,CART,Maplebear Inc,Consumer Cyclical,Internet Retail,USA,10780000000.0,26.46,42.02,-0.12%,4655665,1000000000.0
10,ESTC,Elastic N.V,Technology,Software - Application,USA,10730000000.0,187.77,103.63,-0.08%,1858480,1000000000.0
3,ALLY,Ally Financial Inc,Financial,Credit Services,USA,10690000000.0,13.96,34.86,0.66%,5071521,1000000000.0
20,PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,10630000000.0,11.14,46.16,-2.88%,5166839,1000000000.0
12,ENPH,Enphase Energy Inc,Technology,Solar,USA,10480000000.0,162.94,71.45,8.59%,6559419,1000000000.0
15,GTLB,Gitlab Inc,Technology,Software - Infrastructure,USA,10440000000.0,-,59.83,7.49%,4578777,1000000000.0
4,APG,APi Group Corporation,Industrials,Engineering & Construction,USA,10390000000.0,-,36.94,0.93%,1899216,1000000000.0
1,ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,10390000000.0,-,88.65,-0.30%,3682826,1000000000.0
16,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,10390000000.0,12.22,34.16,2.15%,8659535,1000000000.0
6,CFLT,Confluent Inc,Technology,Software - Infrastructure,USA,10350000000.0,-,29.98,5.23%,6632006,1000000000.0
18,OHI,"Omega Healthcare Investors, Inc",Real Estate,REIT - Healthcare Facilities,USA,10220000000.0,28.02,37.83,0.05%,9425022,1000000000.0
8,CNM,Core & Main Inc,Industrials,Industrial Distribution,USA,10120000000.0,23.80,50.54,0.82%,10195289,1000000000.0
1,AA,Alcoa Corp,Basic Materials,Aluminum,USA,10100000000.0,-,37.84,3.33%,8532785,1000000000.0
5,CCK,"Crown Holdings, Inc",Consumer Cyclical,Packaging & Containers,USA,10030000000.0,102.28,83.05,0.98%,6174480,1000000000.0
11,EDU,New Oriental Education & Technology Group Inc. ADR,Consumer Defensive,Education & Training Services,China,10020000000.0,26.16,61.27,2.05%,2014807,1000000000.0
2,ARMK,Aramark,Industrials,Specialty Business Services,USA,10020000000.0,38.22,37.62,0.56%,3668182,1000000000.0
9,CUBE,CubeSmart,Real Estate,REIT - Industrial,USA,9910000000.0,24.05,42.66,2.20%,4089285,1000000000.0
19,OVV,Ovintiv Inc,Energy,Oil & Gas E&P,USA,9850000000.0,5.01,37.78,0.11%,10750648,1000000000.0
17,LKQ,LKQ Corp,Consumer Cyclical,Auto Parts,USA,9820000000.0,13.66,36.88,2.44%,6187263,1000000000.0
20,PNW,Pinnacle West Capital Corp,Utilities,Utilities - Regulated Electric,USA,9700000000.0,16.09,84.96,0.43%,1876735,1000000000.0
13,EXEL,Exelixis Inc,Healthcare,Biotechnology,USA,9400000000.0,21.21,33.29,-1.16%,7648818,1000000000.0
15,LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,USA,8800000000.0,24.54,62.09,-0.66%,6510252,1000000000.0
9,DUO,Fangdd Network Group Ltd,Real Estate,Real Estate Services,China,,-,0.65,-1.45%,3121807,
